k,Accuracy,Splits
0,85.9782608695652,541
0.2,86.0869565217391,513
0.25,85.9782608695652,513
0.5,86.5217391304348,497
0.666666666666667,86.304347826087,477
1,86.5217391304348,461
1.33333333333333,86.4130434782609,427
1.5,86.4130434782609,397
1.66666666666667,86.5217391304348,393
2,86.6304347826087,351
3,86.304347826087,255
3.33333333333333,86.304347826087,229
3.5,86.4130434782609,215
5,86.5217391304348,139
6,85.8695652173913,107
6.5,85.4347826086956,103
12,84.0217391304348,65
31.5,84.2391304347826,27
37,84.2391304347826,23
66,84.2391304347826,23
229,78.5869565217391,7
421,76.4130434782609,5
